"filename", "language", "XML", "Java", "comment", "blank", "total"
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\RayOfFrost.java", "Java", 0, 41, 0, 8, 49
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Resistance.java", "Java", 0, 28, 1, 12, 41
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\SacredFlame.java", "Java", 0, 41, 0, 10, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Shillelagh.java", "Java", 0, 39, 2, 11, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\ShockingGrasp.java", "Java", 0, 41, 1, 8, 50
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\SorcerousBurst.java", "Java", 0, 41, 2, 9, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\SpareTheDying.java", "Java", 0, 37, 0, 9, 46
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\StarryWisp.java", "Java", 0, 41, 0, 10, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Thaumaturgy.java", "Java", 0, 40, 7, 9, 56
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\ThornWhip.java", "Java", 0, 41, 0, 8, 49
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\Thunderclap.java", "Java", 0, 43, 0, 9, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\TollTheDead.java", "Java", 0, 43, 1, 8, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\TrueStrike.java", "Java", 0, 39, 2, 11, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\ViciousMockery.java", "Java", 0, 42, 0, 10, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\cantrips\WordOfRadiance.java", "Java", 0, 43, 0, 9, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Alarm.java", "Java", 0, 31, 3, 10, 44
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\AnimalFriendship.java", "Java", 0, 42, 1, 10, 53
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\ArmorOfAgathys.java", "Java", 0, 43, 1, 9, 53
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\ArmsOfHadar.java", "Java", 0, 38, 1, 11, 50
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Bane.java", "Java", 0, 38, 1, 12, 51
